-0.389824411+0.001788337i,0.397786032+0.015472466i,0.000421416004+0.000168334768i,0.614906101+0.00513039817i,-0.0002132025+2.88646828e-05i,-6.58074047e-05+0.00029518054i,-0.000112063622-3.90059843e-05i,0.000129468152+1.94755579e-05i,7.1240647e-05-0.000168835213i,2.21234948e-05+0.000158524548i,0.000409588597-0.00032923354i,-5.17396866e-06-0.000297844432i,-0.00316162064-0.0216035052i,0.000509021262+0.0214657173i,-0.389328823-0.012258224i,0.398438895-0.00234071517i
0.00284120094+0.249212314i,-0.00385702557+0.250661584i,0.131600982-0.180897432i,-0.00784143599-0.00639624105i,-0.295447994+0.110482379i,-0.0223779524+0.314974377i,-0.311370957-0.0580912361i,0.312688595-0.0375651945i,0.247171711-0.198190096i,0.116258748+0.294877312i,-0.137030952-0.176919541i,-0.213273458+0.0694836683i,2.23767932e-05+9.49206862e-06i,9.62606848e-05+2.36994653e-05i,0.249210741+0.00185616956i,0.250644445-0.00333752561i
0.00284170812+0.249316246i,-0.00364152779+0.250556284i,-0.129387125+0.359306493i,-0.00750405579-0.00734000933i,0.214793835-0.0710712671i,0.0250802377-0.225388117i,-0.229586799+0.0250626108i,-0.225480099+0.0173817362i,0.130677059-0.190035309i,0.142712067+0.180943499i,0.308727153+0.223085275i,0.315049623-0.215324834i,3.51382956e-05+0.000154081352i,5.00077478e-06+2.39570173e-05i,0.249275566+0.00192295856i,0.250677024-0.00354095873i
0.205045624-0.00498882035i,-0.203302121+0.000538295385i,-0.125140166+0.0141463889i,-0.000698901284+0.0146740179i,-0.0432156082-0.0463716545i,0.0474489374+0.041791863i,-0.382761024+0.0175084878i,-0.0634292774-8.41162723e-05i,-0.379308746-0.0541877545i,-0.381836452+0.0312482463i,0.117797378-0.0443145109i,-0.108081099+0.0643745151i,-0.555822893+0.0207865161i,-0.149530238-0.037366542i,-0.20510607+0.00210956462i,0.202949987-0.00554285344i
0.00278897881+0.249188813i,-0.00370739021+0.250709566i,0.095512582-0.315968785i,-0.00687323805-0.00640316103i,0.312352572-0.143353315i,-0.00110696923-0.343182333i,0.149285826-0.0252938056i,-0.337367139+0.0671696534i,-0.0782353466+0.129463689i,-0.10050012-0.112978586i,-0.277737625-0.179176526i,-0.261274849+0.201650948i,3.84354607e-05+1.58237067e-05i,8.80826242e-05-3.45904055e-05i,0.249091727+0.00189781189i,0.250717901-0.00332387368i
0.205049007-0.00511720733i,-0.203173809+0.000358036346i,0.365654843+0.124751567i,-0.00208731626-0.0283156221i,0.0256191221+0.00476283489i,-0.0260155149-0.00153035774i,-0.120225365-0.0465056172i,0.021670298-0.0164090089i,-0.109691862-0.0679376355i,-0.122151006-0.0418212443i,-0.385050393-0.0331428575i,0.384728483-0.0364194145i,0.400547999-0.0616511724i,-0.403695267+0.0729873407i,-0.205374137+0.00197591831i,0.202707138-0.00556301741i
0.204898016-0.00487814099i,-0.203204713+0.000641026427i,-0.0327480503-0.0206918171i,0.00284379476+0.0142942855i,0.253402564+0.312691736i,-0.281907757-0.28709124i,-0.0564526673+0.00587205012i,0.401147982+0.0321571265i,-0.0564340362-0.00476147803i,-0.0560257334+0.00782539857i,0.0359785945+0.0126054581i,-0.0387188581-0.00672826914i,0.155317105+0.0408668349i,0.553239044-0.0356091672i,-0.205039488+0.00214704795i,0.203257365-0.00549959247i
-0.00791237245-0.25068733i,-0.0065900843-0.249149626i,-0.0684850772+0.154790403i,0.00357495973-0.00361022032i,-0.134993385+0.215052165i,-0.253360829+0.0152241895i,-0.395207734+0.0258365082i,-0.244986677-0.0683468783i,0.154860002+0.36445147i,0.162045382-0.36129495i,-0.159330654+0.058310962i,-0.146908238-0.083102142i,-9.50147174e-05-6.23124768e-05i,7.44825782e-05+8.81081016e-05i,0.250652688-0.00841855723i,0.249020194-0.00867379968i
0.00277976995+0.249241459i,-0.00367593016+0.250475674i,-0.0978567617+0.138089265i,-0.00739740871-0.00692430074i,-0.231911961+0.103725208i,-0.00156367562+0.253874194i,0.391526531+0.0583493566i,0.249849143-0.0470117094i,-0.299920951+0.258721829i,-0.158747992-0.362954368i,0.10613575+0.132358401i,0.159364942-0.0553898516i,2.3753744e-05+0.000111128808i,3.56223554e-05+2.86767442e-05i,0.249234256+0.00193070565i,0.25066893-0.00341243309i
0.204823531-0.00497732647i,-0.203286084+0.000547013372i,0.0324927305+0.0207895803i,0.0027772285+0.0143563437i,-0.25336581-0.312797368i,0.281950003+0.28714179i,0.0564153416-0.00585466243i,-0.401109006-0.0320456852i,0.0564690811+0.0048163789i,0.0560670639-0.00791600084i,-0.0359907376-0.0127048034i,0.038918699+0.00663727225i,0.155330341+0.0408598074i,0.55323355-0.0356031172i,-0.205154841+0.00217550257i,0.202957308-0.00545516513i
0.205399594-0.00522471261i,-0.202779015+0.000318038919i,-0.365836663-0.124876148i,-0.00206687485-0.0283080443i,-0.0256185593-0.00480930286i,0.0261099976+0.0015416676i,0.120228376+0.0465553192i,-0.0216135638+0.0163989105i,0.109727261+0.067929896i,0.122197177+0.0417382464i,0.385000176+0.0329639441i,-0.384554179+0.0363635205i,0.400481161-0.0616425105i,-0.403721556+0.0729406686i,-0.205358852+0.00188612882i,0.202866064-0.00588741392i
